feature,mean_abs_shap,mean_shap,std_shap
gender,0.03053279641739482,-0.004960504151275961,0.03565769475830301
age,0.027911554770242118,-0.005460481322868308,0.07262338566632046
has_house,0.021785319255433512,-0.0023352356938798435,0.028485104590503595
vc_ecosystem_index_entropy,0.021324899064927568,-0.0015070375371834535,0.0291316452710826
hukou_urban,0.014948399512366295,-0.0025121853219122223,0.020532784722809987
education,0.012261189731961586,-0.00245437900350234,0.019264111852286676
social_network_index_entropy,0.01170870910737891,-0.003178614708541817,0.018023440278430496
married,0.00837439734089153,-0.0032285639324708365,0.017244546354190267
subjective_class,0.006518075185595631,-0.0005184319441629051,0.009102424789323181
health,0.005511250966820315,-0.0012098108138228487,0.008522060047037164
mother_edu,0.004832399630350338,-0.0014726756885418692,0.008063285030643496
father_edu,0.0039215998335152295,-0.001192987960537963,0.00607342766358249
family_econ,0.0024943012095580866,0.0005010082565357946,0.005710865091831478
has_car,0.0005340260820104453,0.0001115626818188924,0.0014466190407113949
